pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,v,12,12,2,v,1,0.7851664000190794,None,,,,,2,12,12,1,287.1513336999342,,287.1384193999693,287.1513336999342,288.1518725999631,288.1518725999631,288.1518725999631,288.1518725999631,288.1518725999631,289.1517224998679,289.1517224998679,289.9388228999451,,,,,v,1,0.7851664000190794,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,13,13,4,c,1,0.7965601000469178,None,,,,,4,13,13,2,289.95211349986494,,289.9392796999309,289.95211349986494,290.951591799967,290.951591799967,290.951591799967,290.951591799967,290.951591799967,291.95179610000923,291.95179610000923,292.75445539993234,,,,,c,1,0.7965601000469178,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,14,14,3,z,1,0.36912700021639466,None,,,,,3,14,14,3,292.7683965000324,,292.7548098999541,292.7683965000324,293.7675552999135,293.7675552999135,293.7675552999135,293.7675552999135,293.7675552999135,294.7678036999423,294.7678036999423,295.1389285000041,,,,,z,1,0.36912700021639466,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,15,15,3,v,1,0.6705541000701487,None,,,,,3,15,15,1,295.15115869999863,,295.1392949000001,295.15115869999863,296.1515048998408,296.1515048998408,296.1515048998408,296.1515048998408,296.1515048998408,297.15132339997217,297.15132339997217,297.8393957000226,,,,,v,1,0.6705541000701487,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,16,16,5,c,1,0.6383028000127524,None,,,,,5,16,16,2,297.85099679999985,,297.83985109999776,297.85099679999985,298.8519667999353,298.8519667999353,298.8519667999353,298.8519667999353,298.8519667999353,299.8514664999675,299.8514664999675,300.50480389990844,,,,,c,1,0.6383028000127524,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,17,17,4,z,1,0.6490505000110716,None,,,,,4,17,17,3,300.51752649992704,,300.5051726999227,300.51752649992704,301.5178457000293,301.5178457000293,301.5178457000293,301.5178457000293,301.5178457000293,302.51801619981416,302.51801619981416,303.17267689993605,,,,,z,1,0.6490505000110716,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,18,18,5,z,1,0.44467180012725294,None,,,,,5,18,18,3,303.18413359997794,,303.1729992998298,303.18413359997794,304.1851066998206,304.1851066998206,304.1851066998206,304.1851066998206,304.1851066998206,305.18450149986893,305.18450149986893,305.6380453999154,,,,,z,1,0.44467180012725294,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,19,19,4,v,1,0.7218049999792129,None,,,,,4,19,19,1,305.6510114998091,,305.6384083000012,305.6510114998091,306.65074259997346,306.65074259997346,306.65074259997346,306.65074259997346,306.65074259997346,307.651219899999,307.651219899999,308.38828029995784,,,,,v,1,0.7218049999792129,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,20,20,3,x,1,0.5757192000746727,None,,,,,3,20,20,0,308.4003918999806,,308.38864579983056,308.4003918999806,309.4008009999525,309.4008009999525,309.4008009999525,309.4008009999525,309.4008009999525,310.40037859999575,310.40037859999575,310.9876547998283,,,,,x,1,0.5757192000746727,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,21,21,5,v,1,1.067892499966547,None,,,,,5,21,21,1,311.0007362999022,,310.98800090001896,311.0007362999022,312.0008684999775,312.0008684999775,312.0008684999775,312.0008684999775,312.0008684999775,313.00051729986444,313.00051729986444,314.07158089987934,,,,,v,1,1.067892499966547,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
